segment,start,finish,mean,sigma
259,17629,17695,1050.84,1887.24
260,17696,17717,983.016,692.866
261,17718,17761,1021.66,1586.52
262,17762,17781,762.89,9446.15
263,17782,17868,917.79,2400.26
264,17869,17891,819.295,833.944
265,17892,17915,705.079,1036.23
266,17916,17943,572.824,1501.27
267,17944,17989,586.396,479.451
268,17990,18011,635.098,1226.29
269,18012,18041,802.571,4106.62
270,18042,18085,955.434,796.514
271,18086,18145,807.863,1596.21
272,18146,18232,708.407,3323.11
273,18233,18277,816.113,3541.58
274,18278,18343,695.893,1472.28
275,18344,18381,745.191,4556.43
276,18382,18453,761.669,2944.27
277,18454,18479,736.759,936.885
278,18480,18515,678.31,592.591
279,18516,18539,632.831,579.485
280,18540,18593,664.881,406.451
281,18594,18629,606.156,1753.32
282,18630,18653,650.066,228.102
283,18654,18679,609.498,133.209
284,18680,18701,562.087,1771.6
285,18702,18753,596.946,822.807
286,18754,18779,712.603,613.072
287,18780,18826,822.924,1724.78
288,18827,18860,933.109,2543.97
289,18861,18917,890.695,3702.9
290,18918,18982,962.983,708.199
291,18983,19035,970.796,1537.2
292,19036,19067,1003.66,913.487
293,19068,19092,960.313,518.416
294,19093,19131,985.578,1530.89
295,19132,19173,1057.38,1731.21
296,19174,19243,953.06,1656.98
297,19244,19285,994.607,811.278
298,19286,19311,972.658,489.498
299,19312,19335,1000.33,257.283
300,19336,19373,966.901,681.026
301,19374,19411,1025.91,745.969
302,19412,19464,970.668,1525.65
303,19465,19514,1013.59,2505.67
304,19515,19537,1071.67,780.38
305,19538,19594,994.519,1484.38
306,19595,19619,1032.81,320.449
307,19620,19757,1011.99,913.373
308,19758,19789,969.666,2889.57
309,19790,19834,1038.72,624.111
310,19835,19861,1002.03,913.612
311,19862,19881,930.848,1160.17
312,19882,19954,758.977,7622.27
313,19955,20010,835.08,3446.75
314,20011,20069,860.856,2976.04
315,20070,20563,881.422,2186.77
316,20564,20622,845.68,2866.79
317,20623,20652,964.845,2023.62
318,20653,20785,922.564,7111.5
319,20786,20812,857.951,780.546
320,20813,20867,825.423,1182.78
321,20868,20909,832.913,1810.25
322,20910,20947,879.133,1037.04
323,20948,20982,847.991,949.062
324,20983,21009,828.48,1177.11
325,21010,21032,776.123,817.893
326,21033,21104,809.09,4046.55
327,21105,21141,712.952,1582.14
328,21142,21201,773.974,3267.13
329,21202,21227,737.704,3481.67
330,21228,21266,633.312,4500.32
331,21267,21292,689.554,2510.07
332,21293,21351,751.252,3795.14
333,21352,21371,660.127,4149.88
334,21372,21398,556.464,2187.65
335,21399,21424,639.762,5087.11
336,21425,21456,711.62,2822.2
337,21457,21505,803.792,472.167
338,21506,21542,859.851,2747.38
339,21543,21583,805.652,3561.14
340,21584,21826,731.31,1660.96
341,21827,22130,666.687,2140.39
342,22131,22180,625.738,5446.21
343,22181,22237,649.739,726.434
344,22238,22291,735.128,1148.8
345,22292,22325,696.505,696.071
346,22326,22376,728.488,1621.55
347,22377,22487,792.581,4830.62
348,22488,22548,603.814,1019.78
349,22549,22574,684.192,704.816
350,22575,22601,739.609,3443.24
351,22602,22632,771.261,452.789
352,22633,22666,715.139,407.419
353,22667,22700,788.176,3326.37
354,22701,22798,695.63,2664.11
355,22799,22837,775.995,2468.15
356,22838,22892,734.287,3051.58
357,22893,22925,775.898,2459.64
358,22926,22955,673.858,1679.19
359,22956,22983,565.636,3762.64
360,22984,23011,634.907,1392.82
361,23012,23042,570.072,3185.4
362,23043,23066,614.704,464.741
363,23067,23142,679.368,5362.84
364,23143,23171,736.733,2747.55
365,23172,23191,615.096,1500.64
366,23192,23234,664.353,2563.21
367,23235,23280,752.397,3175.67
368,23281,23325,662.315,1300.11
369,23326,23347,639.865,4337.34
370,23348,23384,578.127,342.477
371,23385,23411,657.47,720.861
372,23412,23432,626.143,697.662
373,23433,23460,614.263,725.491
374,23461,23514,687.302,2716.87
375,23515,23582,579.094,1882.55
376,23583,23673,756.526,1004.04
377,23674,23784,791.362,1124.08
378,23785,24040,684.348,2648.75
379,24041,24072,646.597,2929.03
